Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
1,Toyota,Camry,Sedan,26339.304390226476,0.1085719219465661,0.7825620190739409,29995.191587099696,1.3107236711880152e-05,0.8571153386752329,0.7371119425116524
2,Ford,F150,Truck,43603.91853952011,0.10003277760669678,0.6384423898554361,43535.63487109299,9.57726099870802e-06,0.6362874277963962,0.1990888689612158
3,Honda,Civic,Sedan,24936.871392671106,0.11055464193905633,0.8453749426249677,24051.62030628605,1.0723724541945896e-05,0.824741894903765,0.4863018837920765
4,Toyota,Corolla,Sedan,19776.21842818838,0.08972004067710829,0.8180573735469671,21826.176500935704,1.0875381347764209e-05,0.8827758730657475,0.5888368411964411
5,Chevrolet,Silverado 1500,Truck,37447.646220866816,0.08078423595155797,0.6812058548906019,33598.8688622774,6.523598746113678e-06,0.5824063491301639,-0.5485289181719444
6,Toyota,RAV4,Sport Utility,33376.128356005254,0.1191897889633972,0.850533366813131,33387.321739449144,1.183867706661696e-05,0.8329443091736407,0.6953532589374987
7,Toyota,Tacoma,Truck,35495.446947816956,0.06593808546801919,0.7789564837930689,35188.18717643208,6.542975715713407e-06,0.750049745751059,-0.22337787421569888
8,Honda,Accord,,28643.46690409488,0.1121233409638844,0.8808006696644123,28517.368917247455,1.1384958054288844e-05,0.8813953670103488,0.4231254306661494
9,Toyota,Highlander,Sport Utility,47702.70579465209,0.13659200982667988,0.9042612780435626,43369.032118016185,1.0752757570298553e-05,0.9064945458334519,0.7115563659307769
10,Jeep,Wrangler,Convertible,43933.019388069835,0.07852126615321367,0.6132072806199076,38420.41765720099,7.353543739889579e-06,0.5791840933900412,-0.33509849652383394
11,Honda,CR-V,Sport Utility,30261.21005050866,0.1055304104935973,0.9049128282935492,29036.05981779509,1.0124473233427036e-05,0.8902661696409725,0.35347347793160344
12,Ford,Mustang,Coupe,27704.35134317578,0.055901968924247,0.18499714664677402,38669.920205710914,1.5286288880277832e-05,0.6259921856536846,
13,Jeep,Grand Cherokee,Sport Utility,39042.041596610405,0.10622306547247203,0.41171873474526754,43858.34053112677,1.1572338731858999e-05,0.607580735953584,-0.341883019536972
14,Toyota,Prius,Hatchback,30148.10008552677,0.1225726058354239,0.8962022997994432,24581.95086848291,8.706437411834085e-06,0.6983676948741703,0.5351202452616269
15,BMW,X3,Sport Utility,45274.41964333173,0.16467726448263578,0.8924817941600498,48366.60433640596,1.8523662386090593e-05,0.9262715392138801,0.8910869675170323
16,Toyota,Tundra,Truck,46706.644718238385,0.089463301006963,0.8608095639893206,44508.34959087269,8.55172789949096e-06,0.8365901361992306,0.2832185674240879
17,BMW,330i,Sedan,44064.001326538266,0.1577811240914597,0.8022249771794533,45567.84634281221,2.3523376099235534e-05,0.849577120085199,0.8027980335384914
18,Toyota,4Runner,Sport Utility,45247.520215074124,0.09616605114947568,0.9014695366291297,43364.47559651985,8.159591577262328e-06,0.8858753930885871,0.5654498534034378
19,Ford,F250,,54663.89792834569,0.08108291298960882,0.7343630655898102,50957.90882797546,8.01674410977557e-06,0.6091142790235979,0.3132737596251136
20,RAM,1500,Truck,38404.290007231735,0.10231291571562554,0.45093396722216506,35498.12316041697,7.635326161457057e-06,0.49682754779924365,
