index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life,Counts
220,Acura,ILX,30777.774961035448,0.12809998654495808,0.7626944239835306,Sedan,5.411007594108776,99
44,Acura,MDX,55726.29915796359,0.16805282461017682,0.9375089670335888,SUV,4.124595951349602,471
148,Acura,TSX,32150.62084292623,0.12258541223829585,0.6753708580531346,Sedan,5.654424840147978,150
189,Acura,TLX,35871.65507859322,0.1528893433773754,0.7784878235974448,Sedan,4.53367111590704,118
86,Acura,RDX,42559.08885265344,0.15613239263698464,0.9525226471739138,SUV,4.439501555654805,271
89,Acura,TL,28820.443700856875,0.10861842370877367,0.7023392406098299,Sedan,6.381514077744904,264
42,Audi,A4,42268.65970998704,0.16810153072592487,0.8931604157614511,Sedan,4.123400881638143,482
212,Audi,Q3,40387.50348200855,0.16056722286633862,0.8476702248606,SUV,4.3168835309370746,103
137,Audi,A5,54769.2974501901,0.1869757865963189,0.9238062476385924,Coupe,3.7071645083997553,173
239,Audi,A7,86183.82256167603,0.19654413149642505,0.9188428010416261,Hatchback,3.526688864849713,85
296,Audi,TT,51937.543189491385,0.13402591428488295,0.9152654408823728,Coupe,5.171761026204631,65
94,Audi,Q7,68250.80668195762,0.18108021568405952,0.8991555559534444,SUV,3.827861577155267,254
96,Audi,A6,67021.37706583529,0.2284479755522396,0.9228697704305852,Sedan,3.034170026345873,245
188,Audi,A8,104135.97287878883,0.2402111043950023,0.9431706335209225,Sedan,2.8855868330724066,120
208,Audi,S5,67012.77167852747,0.15476421602162102,0.9304339953891454,Coupe,4.478748497670579,107
88,Audi,A3,36273.11087236029,0.150361213868715,0.8755061358142835,Sedan,4.609898937136878,269
276,Audi,S4,59090.7095839308,0.1421591190552536,0.8976560656447219,Sedan,4.875874334382941,72
54,Audi,Q5,48994.38569198842,0.16645442582649067,0.9232476861827456,SUV,4.16420288351196,410
18,BMW,X5,68956.39106867633,0.1854668214994933,0.9553676753640952,SUV,3.7373261394998014,702
286,BMW,330i xDrive,52610.45536129033,0.1961599132509401,0.871796318054308,Sedan,3.5335965871542725,68
181,BMW,535i,51484.08387484461,0.16485900286051167,0.8465979786951281,Sedan,4.204501956053192,123
120,BMW,M3,60206.26911410236,0.0693370122646443,0.6020158473596806,Coupe,9.996825322591018,192
219,BMW,i3,68136.00236506228,0.3158385193348027,0.5365109658559357,Hatchback,2.1946341486778267,100
107,BMW,X1,42270.06124002083,0.18769214055737599,0.9300747471116946,SUV,3.693015583612621,222
250,BMW,530i,59064.0093174891,0.1755172696138898,0.9692148288678942,Sedan,3.949184040549516,80
47,BMW,328i,33194.74053101376,0.13287995384194834,0.7972355370410545,Sedan,5.216362438118052,450
152,BMW,335i,44427.43649549033,0.13241335313836528,0.6556229045365886,Convertible,5.234743955737555,149
231,BMW,M5,99306.416013246,0.12537939631278866,0.6893399142361277,Sedan,5.528420301775683,91
108,BMW,330i,43176.76754713882,0.15222640889008354,0.8987482310486559,Sedan,4.553414910421328,221
237,BMW,535i xDrive,52123.18636597224,0.17668885010321475,0.6604252650923526,Sedan,3.922997968434844,86
297,BMW,750Li,86679.86785854808,0.1943313374280388,0.8070508861196815,Sedan,3.566846238871148,65
31,BMW,X3,47727.760191587586,0.1718360406646203,0.9023970627509732,SUV,4.033787075860589,551
204,BMW,Z4,61581.163495979774,0.13916247505152607,0.9374617745129245,Convertible,4.980868583598816,110
269,BMW,X6,80540.643066617,0.17743358831167266,0.910065471554226,SUV,3.906532052896551,74
182,BMW,528i,35578.873350765316,0.13041524891688885,0.8748327548747316,Sedan,5.31494595729163,123
299,BMW,X2,43398.817986057176,0.12999216101303648,0.4519105110841419,SUV,5.332244610738384,63
248,BMW,650i,150783.55181366205,0.27173181119638706,0.6190594381605461,Convertible,2.5508607069160703,81
144,BMW,328i xDrive,41129.622015356756,0.16261219531939486,0.7981547444723355,Sedan,4.262595426121326,157
225,Buick,Regal,31308.550329210357,0.13942051151676274,0.6788975044699135,Sedan,4.971650099825244,95
138,Buick,Enclave,40576.263409484614,0.13751079052977006,0.7362281551520338,SUV,5.040695332559654,172
163,Buick,LaCrosse,39580.323373724495,0.17170485687866385,0.7191131734657406,Sedan,4.036868919146639,133
69,Cadillac,CTS,55831.033714891484,0.16870496337974736,0.5076965101044284,Sedan,4.108652087726371,335
179,Cadillac,Escalade ESV,88257.91421542208,0.16990235221659208,0.8492605533704561,SUV,4.079696313541146,124
142,Cadillac,SRX,38302.04550711149,0.14111384071657748,0.7988001354530166,SUV,4.911991598273971,161
174,Cadillac,XT5,50452.607434043304,0.2622902232562535,0.600727170422775,SUV,2.642683327631328,127
87,Cadillac,Escalade,80472.31302973276,0.1539151021074796,0.9379631729637498,SUV,4.503456714182409,270
64,Chevrolet,Silverado 2500,60816.941781864734,0.10501048684071056,0.6732907628385221,Truck,6.6007693217481505,372
45,Chevrolet,Impala,23096.308088329184,0.12619469365859692,0.6240363357242585,Sedan,5.492703218371652,450
105,Chevrolet,Traverse,41476.16949369349,0.18177625726820784,0.8815844982134041,SUV,3.813204267800876,226
51,Chevrolet,Equinox,25254.644936193414,0.12738663726111524,0.6954105346556554,SUV,5.441308561895636,413
134,Chevrolet,Colorado,31988.786954614432,0.10369417621254202,0.7785983440439566,Truck,6.684560554097562,177
35,Chevrolet,Malibu,21747.834868263653,0.1253019017530578,0.7416517418254907,Sedan,5.531839423842462,510
21,Chevrolet,Tahoe,52510.23081509651,0.13436876766149122,0.7757741879136214,SUV,5.158564836630932,675
7,Chevrolet,Silverado 1500,39807.78120978069,0.10217616512364128,0.7593424361947049,Truck,6.78387174896644,1143
25,Chevrolet,Corvette,69457.52092952897,0.08333878220865792,0.6103838421509711,Coupe,8.317256163697456,629
178,Chevrolet,Express 2500,26139.389733583565,0.08801646396754573,0.5946699499829542,Van,7.875231164201107,124
79,Chevrolet,Cruze,18461.01259597496,0.11940393893714048,0.5761386501857851,Sedan,5.805084875507372,289
164,Chevrolet,Silverado 3500,57199.096657704984,0.09106641635980037,0.6373801968151185,Truck,7.611477729192588,132
131,Chevrolet,Avalanche,44339.1772300121,0.115138347992596,0.6989138588397681,Truck,6.020148908551071,181
191,Chevrolet,Trax,21782.642597981383,0.09367871947875744,0.35606990111058856,SUV,7.399225820514963,116
259,Chevrolet,Sonic,14792.798648339009,0.11420496384428165,0.4532813938484642,Sedan,6.069350899187793,78
140,Chevrolet,Express 3500,33651.4908928724,0.0905253670779032,0.547501154438602,Van,7.656969779570158,167
247,Chevrolet,Blazer,36855.446156424136,0.11248283724444604,0.7485366911665073,SUV,6.1622734363790705,81
59,Chrysler,300,28776.59326992357,0.11972691397224015,0.7551270778705478,Sedan,5.7894250925127295,386
157,Chrysler,200,22002.651257024467,0.15735902104406838,0.386002274772318,Sedan,4.404895222409165,138
123,Chrysler,Town & Country,28489.552383568174,0.13767598717107768,0.760558563134989,Van,5.03464703063058,189
139,Chrysler,Pacifica,43544.02315634908,0.28653226555011113,0.7111755472605639,Van,2.419099289461264,171
41,Dodge,Charger,43752.364879818015,0.1831072425280238,0.569995167547894,Sedan,3.7854865292612128,483
192,Dodge,Dakota,37110.06273887352,0.11888855607774815,0.4882482785252934,Truck,5.830249965746987,116
60,Dodge,Ram 1500 Truck,45693.45469784025,0.117092182786511,0.4771729886278476,Truck,5.919694923304911,382
65,Dodge,Sprinter,53778.70465065732,0.10792724239178154,0.4063000120862919,Van,6.422382195996717,370
53,Dodge,Grand Caravan,21205.16451018129,0.11705101477924425,0.6751089494912205,Van,5.921776938946376,410
55,Dodge,Durango,43646.04386427386,0.14883885551596135,0.6505781564817695,SUV,4.657050053207828,409
49,Dodge,Journey,24332.02848636934,0.13693650538619842,0.7375399316682902,SUV,5.061835031098007,417
197,FIAT,500,20854.046378848383,0.15385942411167824,0.4583861707986479,Hatchback,4.505086405996684,113
62,Ford,Ranger,42369.850674998685,0.12680267693185202,0.9096519318457984,Truck,5.466367246903801,374
104,Ford,Taurus,22558.823259481607,0.12901834629224312,0.7493928659988838,Sedan,5.372491741832795,228
135,Ford,E-350 and Econoline 350,47508.67936584659,0.12922271631407076,0.6197813643478574,Van,5.363994967535942,173
27,Ford,Fusion,24210.316748897232,0.13533977983027362,0.6627507085781382,Sedan,5.121554068354944,595
52,Ford,Focus,28722.66549364481,0.17233253934975407,0.5072461592352564,Sedan,4.022165533075744,412
161,Ford,Flex,35508.55021916676,0.13824471816313866,0.7451468635847378,SUV,5.013934776025464,135
19,Ford,Escape,25382.58344524103,0.12506471722557147,0.628886935721472,SUV,5.542330525961279,699
12,Ford,Explorer,39612.33261168665,0.1451551741827666,0.8466657817801073,SUV,4.775234530236219,809
46,Ford,F350,62148.133554712185,0.10288857862537958,0.7619467602268285,Truck,6.736899364931262,445
17,Ford,F250,53819.19282288458,0.09251748427104813,0.7550252973074103,Truck,7.492097363664593,751
205,Ford,E-150 and Econoline 150,25414.000534095103,0.09327964494019908,0.4408348804230093,Van,7.430881629581392,110
183,Ford,Transit Connect,32799.806519801765,0.16339202060717464,0.7790404586548375,Van,4.242251227594913,123
70,Ford,Expedition,66979.7981887737,0.20519838370388813,0.9123224070627932,SUV,3.37795058366664,330
38,Ford,Edge,37789.42034658004,0.16129863735707325,0.7738115429926586,SUV,4.297308466813307,501
201,Ford,F450,62026.65018195077,0.08985119243367362,0.7429105344374918,Truck,7.7144218259726465,111
0,Ford,F150,44246.053175361805,0.11578378182764733,0.7339811960075866,Truck,5.986589736996195,1975
214,Ford,E-250 and Econoline 250,29905.18914454944,0.1150396063610511,0.4717912779733059,Van,6.0253161665431385,102
48,GMC,Sierra 1500,49180.03008649402,0.11325423194372801,0.8058950953734143,Truck,6.120301096955051,429
153,GMC,Sierra 2500,61685.74467256753,0.09309121534969697,0.7593549989462325,Truck,7.4459227693631815,148
113,GMC,Yukon XL,55298.58023452186,0.13995669074625924,0.8667035661996961,SUV,4.952603525448294,210
82,GMC,Yukon,61290.162742206514,0.14193074533758235,0.8577777267117636,SUV,4.8837198617631605,286
130,GMC,Terrain,26245.686116379267,0.11973680182989735,0.7471359159732798,SUV,5.788947002148223,183
285,GMC,Canyon,36622.93591256313,0.1038287783828302,0.8587210579745816,Truck,6.6758947836626366,69
63,GMC,Suburban,59425.576036891296,0.15232970305884228,0.8426813626992239,SUV,4.550327257791926,373
67,GMC,Acadia,34678.545389456514,0.12590692796973882,0.7790873209445051,SUV,5.505257027370215,337
3,Honda,Civic,23425.106385099723,0.11050949051677676,0.8512868849596092,Sedan,6.272311968488996,1484
61,Honda,Fit,19189.6079892552,0.09257171587643122,0.911302324434758,Hatchback,7.487708242604545,381
6,Honda,CR-V,31114.47428563457,0.11618397181486582,0.9244850071951468,SUV,5.96596922254048,1176
295,Honda,Passport,42748.81567350519,0.14361465372601462,0.5820174081181178,SUV,4.8264573427331365,65
29,Honda,Pilot,41373.43248540162,0.1414605340727607,0.9330336484218896,SUV,4.899953224009998,558
4,Honda,Accord,28256.320641147362,0.12135991656433695,0.8689969078357571,Sedan,5.711523372979068,1387
23,Honda,Odyssey,40210.899348592415,0.14576335034427473,0.9138716218022628,Van,4.755310565810039,650
206,Honda,Ridgeline,39849.70743689877,0.10629646838866302,0.9370695978247624,Truck,6.520912787671953,107
128,Hyundai,Tucson,21207.0306910738,0.1056931857421078,0.8550321433038254,SUV,6.5581332905537675,186
271,Hyundai,Genesis,49462.465056991525,0.19673263511232747,0.7093254505084919,Sedan,3.523309691878196,73
198,Hyundai,Accent,14706.889948371077,0.10725905091188202,0.8216328400242383,Sedan,6.4623916966173125,113
66,Hyundai,Santa Fe,24715.99043239828,0.1177162660760018,0.6346910247077993,SUV,5.888311132401004,339
50,Hyundai,Sonata,22156.076916824964,0.1232563244315246,0.7946837523940091,Sedan,5.6236465203461545,414
56,Hyundai,Elantra,16666.493025395866,0.10454913595250273,0.7817452990099669,Sedan,6.629896973179214,403
249,Hyundai,Veloster,20305.970440793582,0.1134849566378184,0.6341439848865189,Hatchback,6.107857997533134,80
112,INFINITI,Q50,39733.76848347538,0.16289289303988186,0.4660191597667042,Sedan,4.255250103700305,213
227,INFINITI,FX35,46456.719914646914,0.13419637479461158,0.7367194633310244,SUV,5.16519169061661,94
222,INFINITI,QX56,59755.831092695626,0.14489688194751066,0.7457544378158487,SUV,4.7837468321167576,97
229,INFINITI,QX80,64571.830244915174,0.16344023375013444,0.4627506859527497,SUV,4.240999808282702,93
147,INFINITI,QX60,43549.464473912165,0.16878821547237294,0.7487186671962043,SUV,4.10662556067757,154
233,INFINITI,QX50,42042.36030248005,0.18256410948128668,0.859156683306749,SUV,3.7967484516503487,88
246,Jaguar,XF,57936.82776081452,0.1848365475817575,0.6999915112570478,Sedan,3.7500700433360112,81
74,Jeep,Compass,25195.285338516078,0.1373837470373387,0.695842733659587,SUV,5.045356637503947,295
1,Jeep,Wrangler,44775.41985606469,0.08801345745390847,0.7756580331885942,Convertible,7.875500179765053,1633
71,Jeep,Cherokee,26404.165708941626,0.08501895371907507,0.6095998615611307,SUV,8.152887911210357,325
132,Jeep,Renegade,26999.079602564718,0.13763809763226115,0.4649193905416074,SUV,5.03603298740691,179
78,Jeep,Liberty,21597.625042845262,0.09553457429213856,0.4763477833627889,SUV,7.255488446312557,290
5,Jeep,Grand Cherokee,46008.27556406919,0.14598817730230262,0.6916009015135387,SUV,4.7479872192983885,1316
159,Jeep,Patriot,21218.812411392413,0.11311525336332988,0.6236078293826128,SUV,6.127820779162113,137
287,Kia,Rio,17496.396479046718,0.13926923887663978,0.8136294198234613,Sedan,4.977050248791623,67
116,Kia,Soul,18113.07381309445,0.11761301648588153,0.6659641633839124,Hatchback,5.893480336704117,203
72,Kia,Optima,21866.3992509611,0.11601540261639152,0.5612375904862856,Sedan,5.974637715062039,298
284,Kia,Sedona,38368.80473722628,0.1771541543700895,0.7600081995368853,Van,3.9126940176178597,70
169,Kia,Sportage,24712.661707868247,0.12599425951926604,0.7597197981103441,SUV,5.501441118386898,131
100,Kia,Sorento,30505.9987769721,0.1461053830712771,0.7149305997829384,SUV,4.7441783829542326,233
184,Kia,Forte,22373.503716889434,0.16082255591119565,0.827097791795968,Sedan,4.310029747212508,122
81,Land Rover,Range Rover Sport,94519.98341392363,0.1871957163307047,0.9191917751385992,SUV,3.7028090897948953,287
91,Land Rover,Range Rover,114091.76513582547,0.18290045459003887,0.9195804469907599,SUV,3.789766414488455,261
254,Land Rover,Discovery Sport,47328.59395456003,0.14880605691252527,0.6740838614972386,SUV,4.658076521760563,79
199,Land Rover,Range Rover Evoque,48103.008592031845,0.13801601344971104,0.8310131649535246,SUV,5.022243308401047,113
75,Lexus,ES 350,43870.077747069554,0.1437508880419518,0.9094567992055838,Sedan,4.821883255411357,295
37,Lexus,RX 350,63995.62117402072,0.1767454849331657,0.9093735343979512,SUV,3.921740916109438,501
151,Lexus,GS 350,52233.06851427712,0.14603984802575798,0.9146445761935346,Sedan,4.746307322079279,150
173,Lexus,LS 460,64984.124208619374,0.13822122776717755,0.8168119206001613,Sedan,5.0147868832966465,128
117,Lexus,IS 250,37612.896993941125,0.11603115927952135,0.8420788085366825,Sedan,5.973826378224733,199
215,Lexus,GX 460,53250.598378363626,0.11483098471429315,0.8497656579210316,SUV,6.0362627885200295,102
272,Lexus,CT 200h,27839.455001246533,0.08793521678786219,0.7262618895764134,Hatchback,7.882507433536872,73
236,Lincoln,Navigator,92673.99583347527,0.21543430637214803,0.8523267441777923,SUV,3.217454135659485,86
228,Lincoln,MKX,62030.58697919887,0.20755639982237165,0.807183407376356,SUV,3.3395742101578323,94
216,Lincoln,MKZ,39150.827119300986,0.1693695977826567,0.7329318671480072,Sedan,4.092529055240975,101
162,MAZDA,MAZDA6,32440.259443327173,0.16086759951413818,0.8639094531394795,Sedan,4.308822920796311,134
196,MAZDA,CX-9,39732.28267200658,0.16439133181484025,0.8253152128789879,SUV,4.216463193939686,114
190,MAZDA,MX-5 Miata,27523.408083456452,0.07137379190236562,0.8204807026771399,Convertible,9.71154791590982,118
68,MAZDA,MAZDA3,24536.39346305076,0.13532924775487834,0.8029550699897048,Sedan,5.121952656202608,337
122,MAZDA,CX-5,28128.998951202542,0.11760878406273415,0.6450345001413139,SUV,5.8936924271767355,190
171,MINI,Cooper Countryman,40389.59713443702,0.17056919131137865,0.7650587945169715,Wagon,4.063746768515986,129
211,MINI,Cooper Clubman,38936.54964779247,0.1909535631535217,0.9096913044008266,Wagon,3.629940120272726,103
57,MINI,Cooper,28021.409177741425,0.1277650637130074,0.8370070608227455,Hatchback,5.425191987983428,400
293,Maserati,Ghibli,72589.96708072531,0.17304944312753234,0.589356905760802,Sedan,4.0055026325000584,66
234,Maserati,GranTurismo,179962.66464952438,0.1996172279618409,0.8220908479406632,Coupe,3.4723956798583715,87
124,Mercedes-Benz,GL 450,68397.52365499524,0.1693940316422015,0.8414222997698824,SUV,4.091938737629727,189
146,Mercedes-Benz,E 300,47339.540276154425,0.10450059091781552,0.5891953614168681,Sedan,6.632976846467097,154
260,Mercedes-Benz,CLS 550,96626.00482824707,0.21091832791648185,0.7734861951782703,Sedan,3.2863431397695764,78
126,Mercedes-Benz,GLS 450,85188.25694219889,0.21986846349548292,0.7369994488932499,SUV,3.1525667163915045,188
103,Mercedes-Benz,GLE 350,62917.88343808652,0.22101869461071347,0.9242456542444796,SUV,3.136160048455923,230
77,Mercedes-Benz,GLC 300,51443.09159951544,0.20580024716945786,0.7297271601565127,SUV,3.3680717566352283,291
43,Mercedes-Benz,E 350,60532.88719069375,0.19028259445308,0.9520784763494669,Sedan,3.6427399047836575,478
76,Mercedes-Benz,S 550,102675.83530347608,0.1839672688518348,0.8725461737151258,Sedan,3.767789804817157,292
22,Mercedes-Benz,C 300,47726.37929079188,0.18167079036271985,0.9021504618916026,Sedan,3.815417980051016,675
202,Mercedes-Benz,SL 550,120826.14053270266,0.17853974504039913,0.9233512566754559,Convertible,3.882328832961856,111
101,Mercedes-Benz,CLA 250,40842.91953404378,0.1770972115366192,0.8886278963552057,Sedan,3.9139520830720382,232
